Reflex daemon running. Watching hunger/health...
[reflex] 💀 WILSON DIED (darkness) - revive sent
[reflex] 💀 DEAD (darkness) - revive sent
[reflex] DUSK-WARNING: no torch, materials needed (twigs+cutgrass)
[reflex] FLEEING tentacle at 9m -> (302,42)
[reflex] FLEEING tentacle at 7m -> (283,47)
[reflex] FLEEING tentacle at 6m -> (284,46)
[reflex] FLEEING tentacle at 9m -> (281,47)
[reflex] FLEEING tentacle at 9m -> (308,51)
[reflex] FLEEING tentacle at 7m -> (288,69)
[reflex] FLEEING tentacle at 8m -> (287,67)
[reflex] FLEEING tentacle at 8m -> (301,50)
[reflex] FLEEING tentacle at 9m -> (297,49)
[reflex] FLEEING tentacle at 8m -> (303,50)
[reflex] FLEEING tentacle at 6m -> (304,53)
[reflex] FLEEING tentacle at 9m -> (304,50)
[reflex] FLEEING tentacle at 9m -> (286,60)
[reflex] FLEEING tentacle at 8m -> (306,63)
[reflex] FLEEING tentacle at 9m -> (298,46)
[reflex] FLEEING tentacle at 8m -> (285,55)
[reflex] FLEEING tentacle at 9m -> (284,55)
[reflex] FLEEING tentacle at 9m -> (301,42)
[reflex] FLEEING tentacle at 9m -> (283,52)
[reflex] FLEEING tentacle at 6m -> (300,53)
[reflex] FLEEING tentacle at 7m -> (301,56)
[reflex] FLEEING tentacle at 9m -> (302,43)
[reflex] FLEEING tentacle at 7m -> (287,54)
[reflex] FLEEING tentacle at 8m -> (285,55)
[reflex] FLEEING tentacle at 7m -> (299,43)
[reflex] FLEEING tentacle at 6m -> (298,43)
[reflex] FLEEING tentacle at 8m -> (282,47)
[reflex] FLEEING tentacle at 9m -> (281,46)
[reflex] FLEEING tentacle at 9m -> (301,39)
[reflex] FLEEING tentacle at 8m -> (299,38)
[reflex] FLEEING tentacle at 8m -> (282,41)
[reflex] FLEEING tentacle at 9m -> (281,40)
[reflex] FLEEING tentacle at 9m -> (286,26)
[reflex] FLEEING tentacle at 9m -> (302,43)
[reflex] FLEEING tentacle at 5m -> (286,48)
[reflex] FLEEING tentacle at 3m -> (288,49)
[reflex] FLEEING tentacle at 6m -> (285,49)
[reflex] FLEEING tentacle at 8m -> (283,49)
[reflex] FLEEING tentacle at 9m -> (303,44)
[reflex] FLEEING tentacle at 9m -> (303,44)
[reflex] FLEEING tentacle at 7m -> (313,57)
[reflex] FLEEING tentacle at 6m -> (289,64)
[reflex] FLEEING tentacle at 6m -> (293,57)
[reflex] FLEEING tentacle at 8m -> (310,53)
[reflex] FLEEING tentacle at 9m -> (304,49)
[reflex] FLEEING tentacle at 8m -> (286,60)
[reflex] FLEEING tentacle at 8m -> (298,48)
[reflex] FLEEING tentacle at 8m -> (306,52)
[reflex] FLEEING tentacle at 7m -> (309,59)
[reflex] FLEEING tentacle at 6m -> (296,52)
[reflex] FLEEING tentacle at 8m -> (300,50)
[reflex] FLEEING tentacle at 9m -> (293,64)
[reflex] FLEEING tentacle at 8m -> (302,49)
[reflex] FLEEING tentacle at 6m -> (301,51)
[reflex] FLEEING tentacle at 9m -> (303,48)
[reflex] FLEEING tentacle at 8m -> (305,50)
[reflex] FLEEING tentacle at 8m -> (306,51)
[reflex] FLEEING tentacle at 8m -> (286,62)
[reflex] FLEEING tentacle at 9m -> (286,57)
[reflex] FLEEING tentacle at 9m -> (307,60)
[reflex] FLEEING tentacle at 6m -> (304,58)
[reflex] FLEEING tentacle at 7m -> (292,49)
[reflex] FLEEING tentacle at 7m -> (292,49)
[reflex] FLEEING tentacle at 7m -> (304,66)
[reflex] FLEEING tentacle at 8m -> (301,49)
[reflex] FLEEING tentacle at 9m -> (308,53)
[reflex] FLEEING tentacle at 9m -> (291,48)
[reflex] FLEEING tentacle at 6m -> (309,55)
[reflex] FLEEING tentacle at 5m -> (312,58)
[reflex] FLEEING tentacle at 7m -> (289,60)
[reflex] FLEEING tentacle at 7m -> (290,72)
[reflex] FLEEING tentacle at 8m -> (306,51)
[reflex] FLEEING tentacle at 7m -> (302,51)
[reflex] FLEEING tentacle at 9m -> (285,65)
[reflex] FLEEING tentacle at 9m -> (286,57)
[reflex] FLEEING tentacle at 7m -> (306,55)
[reflex] FLEEING tentacle at 6m -> (308,59)
[reflex] FLEEING tentacle at 9m -> (298,49)
[reflex] FLEEING tentacle at 9m -> (287,59)
[reflex] FLEEING tentacle at 5m -> (303,58)
[reflex] FLEEING tentacle at 3m -> (301,63)
[reflex] FLEEING tentacle at 7m -> (305,61)
[reflex] FLEEING tentacle at 6m -> (305,53)
[reflex] FLEEING tentacle at 3m -> (308,57)
[reflex] FLEEING tentacle at 6m -> (307,54)
[reflex] FLEEING tentacle at 8m -> (288,69)
[reflex] FLEEING tentacle at 7m -> (287,65)
[reflex] FLEEING tentacle at 9m -> (303,50)
[reflex] FLEEING tentacle at 9m -> (297,49)
[reflex] FLEEING tentacle at 8m -> (295,50)
[reflex] FLEEING tentacle at 5m -> (294,53)
[reflex] FLEEING tentacle at 8m -> (309,57)
[reflex] FLEEING tentacle at 9m -> (306,51)
[reflex] FLEEING tentacle at 6m -> (297,64)
[reflex] FLEEING tentacle at 5m -> (298,64)
